ESO Period 100 - Protected Guaranteed Time Observations - MUSE Consortium,,,,,,,,,,,,,
,,,,,,,,,,,,,
Target id,Right Ascension,,,Declination,,,Instrument,Instrument setup,Telescope,Execution time (h),PI,Protection,Comments
,hh,mm,ss.ss,#NAME?,pp,ss,,,,,,months,
NGC5139_OUTER1,13,26,36.8,-47,27,54,MUSE,NAO,UT4,0.5,Dreizler,6,                                          
NGC5139_OUTER3,13,26,40.3,-47,25,0,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC5139_OUTER4,13,26,41,-47,24,3,MUSE,NAO,UT4,1.2,Dreizler,6,                                          
NGC5139_CENTER,13,26,47.2,-47,28,47,MUSE,NAO,UT4,0.8,Dreizler,6,mosaic of central 4x2arcmin (6 pointings)
NGC5286_CENTER,13,46,26.8,-51,22,27,MUSE,NAO,UT4,2,Dreizler,6,                                          
NGC5904_CENTER,15,18,33.2,2,4,52,MUSE,NAO,UT4,2,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6093_CENTER,16,17,2.4,-22,58,34,MUSE,NAO,UT4,2,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6254_CENTER,16,57,9.1,-4,6,1,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC6266_CENTER,17,1,12.8,-30,6,49,MUSE,NAO,UT4,1,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6293_CENTER,17,10,10.2,-26,34,56,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC6522_CENTER,18,3,34,-30,2,2,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC6541_CENTER,18,8,2.4,-43,42,54,MUSE,NAO,UT4,1,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6656_CENTER,18,23,40.5,-30,21,40,MUSE,NAO,UT4,2,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6624_CENTER,18,23,40.5,-30,21,40,MUSE,NAO,UT4,2,Dreizler,6,                                          
NGC6681_CENTER,18,43,12.8,-32,17,32,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC7078_CENTER,21,29,58.3,12,10,1,MUSE,NAO,UT4,1,Dreizler,6,                                          
Q0042-262,0,44,34.1,-26,12,8,MUSE,NAO,UT4,16,Lilly,6,                                          
MACS0257-22,2,57,41,-22,9,20,MUSE,NAO,UT4,5,Richard,6,                                          
MACS0940+07,9,40,53,7,44,27,MUSE,NAO,UT4,5,Richard,6,                                          
MACS2050+01,20,50,43.4,1,23,29,MUSE,NAO,UT4,5,Richard,6,                                          
candels-cdfs-43,3,32,17.5,-27,47,18,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cdfs-42,3,32,20,-27,46,6,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cdfs-40,3,32,31.9,-27,45,8,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cdfs-26,3,32,47.1,-27,48,53,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
hudf09-1-01,3,33,4,-27,41,11,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cosmos-01,10,0,21.8,2,12,4,MUSE,NnoAO,UT4,0.5,Wisotzki,6,                                          
candels-cosmos-02,10,0,25.7,2,12,4,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cosmos-03,10,0,29.3,2,12,4,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cosmos-05,10,0,36.7,2,12,4,MUSE,NnoAO,UT4,0.5,Wisotzki,6,                                          
