# Filter  93: WFPC2 filter F450W (via Caryl Gronwall)
#   22 data points. Lines  24 to  45
   3.50000E+03   0.00000E+00
   3.60000E+03   1.10000E-02
   3.70000E+03   8.30000E-02
   3.80000E+03   1.97000E-01
   3.90000E+03   3.72000E-01
   4.00000E+03   4.58000E-01
   4.10000E+03   5.18000E-01
   4.20000E+03   5.27000E-01
   4.30000E+03   5.48000E-01
   4.40000E+03   5.79000E-01
   4.50000E+03   5.66000E-01
   4.60000E+03   6.52000E-01
   4.70000E+03   7.29000E-01
   4.80000E+03   7.14000E-01
   4.90000E+03   7.81000E-01
   5.00000E+03   8.89000E-01
   5.05600E+03   1.00000E+00
   5.10000E+03   8.89000E-01
   5.20000E+03   1.14000E-01
   5.30000E+03   1.10000E-02
   5.40000E+03   0.00000E+00
   5.50000E+03   0.00000E+00
