# Filter  31: OAO-UV6 filter (OAO-2 Observatory)
#   70 data points. Lines 278 to 347
   3.62000E+03   2.00000E-02
   3.64000E+03   6.00000E-02
   3.66000E+03   1.00000E-01
   3.68000E+03   1.40000E-01
   3.70000E+03   2.00000E-01
   3.72000E+03   2.40000E-01
   3.74000E+03   2.90000E-01
   3.76000E+03   3.40000E-01
   3.78000E+03   4.00000E-01
   3.80000E+03   4.60000E-01
   3.82000E+03   5.20000E-01
   3.84000E+03   5.70000E-01
   3.86000E+03   6.20000E-01
   3.88000E+03   6.60000E-01
   3.90000E+03   7.01000E-01
   3.92000E+03   7.44000E-01
   3.94000E+03   7.80000E-01
   3.96000E+03   8.20000E-01
   3.98000E+03   8.50000E-01
   4.00000E+03   8.80000E-01
   4.02000E+03   9.00000E-01
   4.04000E+03   9.20000E-01
   4.06000E+03   9.40000E-01
   4.08000E+03   9.46000E-01
   4.10000E+03   9.62000E-01
   4.12000E+03   9.80000E-01
   4.14000E+03   9.82000E-01
   4.16000E+03   9.90000E-01
   4.18000E+03   1.00000E+00
   4.20000E+03   9.99000E-01
   4.22000E+03   9.95000E-01
   4.24000E+03   9.90000E-01
   4.26000E+03   9.80000E-01
   4.28000E+03   9.70000E-01
   4.30000E+03   9.60000E-01
   4.32000E+03   9.50000E-01
   4.34000E+03   9.40000E-01
   4.36000E+03   9.20000E-01
   4.38000E+03   9.10000E-01
   4.40000E+03   8.90000E-01
   4.42000E+03   8.70000E-01
   4.44000E+03   8.50000E-01
   4.46000E+03   8.30000E-01
   4.48000E+03   8.00000E-01
   4.50000E+03   7.80000E-01
   4.52000E+03   7.50000E-01
   4.54000E+03   7.20000E-01
   4.56000E+03   6.80000E-01
   4.58000E+03   6.60000E-01
   4.60000E+03   6.20000E-01
   4.62000E+03   5.90000E-01
   4.64000E+03   5.60000E-01
   4.66000E+03   5.20000E-01
   4.68000E+03   4.80000E-01
   4.70000E+03   4.40000E-01
   4.72000E+03   4.00000E-01
   4.74000E+03   3.59000E-01
   4.76000E+03   3.10000E-01
   4.78000E+03   2.70000E-01
   4.80000E+03   2.40000E-01
   4.82000E+03   2.00000E-01
   4.84000E+03   1.78000E-01
   4.86000E+03   1.42000E-01
   4.88000E+03   1.20000E-01
   4.90000E+03   1.00000E-01
   4.92000E+03   8.00000E-02
   4.94000E+03   6.00000E-02
   4.96000E+03   5.00000E-02
   4.98000E+03   3.00000E-02
   5.00000E+03   2.00000E-02
