# Filter  30: OAO-UV5 filter (OAO-2 Observatory)
#   58 data points. Lines 218 to 275
   2.80000E+03   1.00000E-03
   2.82000E+03   5.00000E-03
   2.84000E+03   1.00000E-02
   2.86000E+03   2.00000E-02
   2.88000E+03   4.00000E-02
   2.90000E+03   8.00000E-02
   2.92000E+03   1.40000E-01
   2.94000E+03   1.80000E-01
   2.96000E+03   1.80000E-01
   2.98000E+03   2.40000E-01
   3.00000E+03   3.60000E-01
   3.02000E+03   4.20000E-01
   3.04000E+03   5.00000E-01
   3.06000E+03   5.80000E-01
   3.08000E+03   6.60000E-01
   3.10000E+03   7.30000E-01
   3.12000E+03   8.00000E-01
   3.14000E+03   8.80000E-01
   3.16000E+03   9.40000E-01
   3.18000E+03   9.65000E-01
   3.20000E+03   9.80000E-01
   3.22000E+03   9.90000E-01
   3.24000E+03   9.99000E-01
   3.26000E+03   9.99000E-01
   3.28000E+03   9.95000E-01
   3.30000E+03   9.85000E-01
   3.32000E+03   9.70000E-01
   3.34000E+03   9.60000E-01
   3.36000E+03   9.40000E-01
   3.38000E+03   9.30000E-01
   3.40000E+03   8.80000E-01
   3.42000E+03   8.40000E-01
   3.44000E+03   8.10000E-01
   3.46000E+03   7.70000E-01
   3.48000E+03   7.20000E-01
   3.50000E+03   6.80000E-01
   3.52000E+03   6.30000E-01
   3.54000E+03   5.80000E-01
   3.56000E+03   5.20000E-01
   3.58000E+03   4.60000E-01
   3.60000E+03   4.00000E-01
   3.62000E+03   3.50000E-01
   3.64000E+03   3.00000E-01
   3.66000E+03   2.70000E-01
   3.68000E+03   2.30000E-01
   3.70000E+03   2.00000E-01
   3.72000E+03   1.70000E-01
   3.74000E+03   1.50000E-01
   3.76000E+03   1.20000E-01
   3.78000E+03   1.00000E-01
   3.80000E+03   8.00000E-02
   3.82000E+03   6.00000E-02
   3.84000E+03   4.50000E-02
   3.86000E+03   3.30000E-02
   3.88000E+03   2.00000E-02
   3.90000E+03   1.70000E-02
   3.92000E+03   1.00000E-02
   3.94000E+03   5.00000E-03
