#	B-fors
#Wavelength (nm)	%T
780	0.001955864
778	0.002892214
776	0.002354926
774	0.00442623
772	0.005411609
770	0.00622026
768	0.005281508
766	0.002951789
764	0.001551521
762	0.000419414
760	0.000620059
758	0.00121929
756	0.0005486
754	0.001151068
752	0.0011486
750	0.000353004
748	0.000682492
746	0.000351512
744	0.000682437
742	8.53E-05
740	0.000225796
738	0.000677995
736	1.79E-05
734	0.000152273
732	0.000155463
730	0.000680367
728	0.000349913
726	-0.000174818
724	0.000220638
722	0.001203086
720	0.000937989
718	0.000283125
716	0.000419741
714	-0.000504599
712	0.000282431
710	0.001199618
708	0.000548559
706	-0.000304912
704	-0.00062852
702	0.00034688
700	0.000804319
698	0.000212847
696	0.000351677
694	2.52E-05
692	-3.92E-05
690	0.000869885
688	-0.000168942
686	0.000739859
684	8.98E-05
682	-0.000304583
680	8.22E-05
678	0.000416794
676	0.000542992
674	0.00015537
672	0.000545082
670	0.00035362
668	0.000351156
666	0.000803374
664	0.000414103
662	0.001122572
660	0.000540541
658	0.000352833
656	-0.000221169
654	-0.000543926
652	0.000673261
650	0.000102281
648	0.00035274
646	0.000152371
644	0.000543407
642	0.0003505
640	0.000919189
638	0.00155583
636	0.001169869
634	0.001165305
632	0.00141742
630	0.003075183
628	0.001026908
626	0.000959489
624	0.001147265
622	-0.000507682
620	0.001206799
618	0.000436508
616	0.000384255
614	0.000699095
612	0.000828012
610	0.001021092
608	0.000961821
606	0.000208361
604	0.001408649
602	0.000965881
600	0.000527118
598	0.00122386
596	0.000342135
594	-0.000168959
592	0.000520499
590	0.001154075
588	0.000830997
586	0.000565981
584	0.000172182
582	0.001207355
580	0.000163575
578	0.000752575
576	0.000430985
574	0.000302674
572	0.000890916
570	0.000509585
568	0.00032093
566	0.000129308
564	0.000197543
562	0.000707648
560	0.000644666
558	7.24E-05
556	0.000326466
554	7.45E-05
552	0.000706592
550	0.000262785
548	0.000259706
546	0.000200553
544	0.000900934
542	0.000519034
540	0.000522403
538	-0.000555629
536	-0.000299774
534	0.000580527
532	0.000458698
530	1.52E-05
528	-0.000298769
526	0.000584242
524	0.000896829
522	0.000269383
520	0.000455056
518	0.001400524
516	0.002662615
514	0.004489273
512	0.005001556
510	0.007653937
508	0.013215287
506	0.022516962
504	0.04126906
502	0.08027336
500	0.168225303
498	0.388280362
496	0.987932801
494	2.969864845
492	10.39436817
490	37.86021042
488	80.74007416
486	88.65128326
484	84.30527496
482	85.00048065
480	87.51420593
478	88.80799103
476	89.21945953
474	89.78929138
472	90.66899109
470	91.18386078
468	90.72360229
466	89.59024811
464	88.53788757
462	88.19706726
460	88.53218079
458	89.11533356
456	89.34559631
454	89.18733215
452	88.86904907
450	88.69319916
448	88.83823395
446	89.13230896
444	89.22834015
442	88.79901123
440	87.91013336
438	86.82339478
436	85.99219513
434	85.70492554
432	85.81138611
430	86.05025482
428	85.99088287
426	85.48519135
424	84.60192108
422	83.58148956
420	82.73110962
418	82.20675659
416	81.98469543
414	81.79278564
412	81.39541626
410	80.70459747
408	79.78890228
406	78.89404297
404	77.91564178
402	76.61067963
400	75.0401001
398	73.18574524
396	71.14976501
394	68.59584808
392	65.12646484
390	60.01012421
388	52.21149445
386	40.75105667
384	26.76989746
382	13.61638641
380	5.039926052
378	1.238889575
376	0.19178465
374	0.019688128
372	0.004307047
370	0.003137401
368	0.002055438
366	0.001544358
364	0.002427135
362	0.003491068
360	0.002608262
358	0.00257195
356	0.001622473
354	0.003558455
352	0.00242821
350	-0.000482585
348	0.001755856
346	0.001330687
344	0.000185196
342	-0.001897566
340	0.003767946
338	-0.002640937
336	-0.000261208
334	0.00088272
332	-0.00017956
330	0.000112491
328	-0.000931838
326	-0.002113712
324	-0.001307562
322	-0.003236859
320	-0.001750082
318	-0.002668163
316	0.001987289
314	0.004326154
312	0.001215391
310	-0.002449176
308	-0.016698683
306	-0.005966266
304	-0.000752347
302	-0.006267196
300	-0.004923039
