#	g-fors
#Wavelength (nm)	%T
778	0.001688872
776	0.002952193
774	0.00375074
772	0.004286503
770	0.004695663
768	0.004547264
766	0.004480076
764	0.002016367
762	0.001949348
760	0.000885762
758	0.000356869
756	0.001084648
754	-3.76E-05
752	-4.73E-05
750	0.001149182
748	0.001017612
746	0.000287815
744	0.000289029
742	0.000817013
740	-0.000629936
738	8.09E-05
736	0.000745807
734	0.000876727
732	-0.000633359
730	-0.000437803
728	-0.000365287
726	0.000417152
724	0.000613845
722	0.000875515
720	0.000808184
718	0.000544837
716	-0.000173789
714	-0.00017451
712	-0.000305921
710	0.000612281
708	9.24E-05
706	-0.000640332
704	-0.000629674
702	0.000216439
700	0.000739791
698	0.001128295
696	8.69E-05
694	-0.00017008
692	-3.34E-05
690	0.000218075
688	0.00067421
686	2.47E-05
684	0.000935177
682	0.000670736
680	-4.50E-05
678	9.14E-05
676	0.000155589
674	-0.00016598
672	0.000157836
670	-0.000676683
668	-0.000938017
666	0.000355798
664	2.82E-05
662	0.000737046
660	0.001121718
658	0.000805469
656	-0.000285236
654	0.000674088
652	-0.000483302
650	0.000865508
648	0.000223677
646	-0.000358294
644	0.000355767
642	0.000733037
640	0.000342049
638	8.97E-05
636	0.000851566
634	0.00020917
632	-0.000245534
630	0.000646197
628	0.000196781
626	0.000897153
624	-0.000459024
622	-0.000888192
620	0.000248135
618	5.38E-05
616	0.000316537
614	0.00025354
612	-0.000444031
610	0.000193081
608	0.000832874
606	8.30E-05
604	-0.000487814
602	0.000902408
600	0.000717973
598	0.000784225
596	0.000342864
594	1.80E-05
592	0.000586254
590	0.000198894
588	-0.000963355
586	0.000242882
584	0.00017407
582	0.000684155
580	0.001730521
578	0.001600543
576	0.001926012
574	0.00302202
572	0.005346566
570	0.007701237
568	0.012004413
566	0.021019651
564	0.035839468
562	0.068151593
560	0.130693004
558	0.275625646
556	0.619135022
554	1.583328247
552	4.545732498
550	14.46202374
548	42.19165039
546	76.56602478
544	86.9675827
542	88.09954834
540	90.13215637
538	91.30470276
536	90.3021698
534	88.51241302
532	87.67674255
530	88.30674744
528	89.91894531
526	91.51475525
524	92.21309662
522	92.00140381
520	91.32565308
518	90.90245819
516	91.07905579
514	91.71456146
512	92.52872467
510	93.28762054
508	93.65995789
506	93.5480957
504	93.01309204
502	92.14069366
500	91.2035675
498	90.42120361
496	90.09612274
494	90.31174469
492	91.08937073
490	92.15106964
488	93.02386475
486	93.13441467
484	92.3817749
482	90.94200134
480	89.41883087
478	88.3686142
476	88.17822266
474	88.73472595
472	89.72982788
470	90.72737122
468	91.26695251
466	91.35360718
464	91.24549866
462	91.17463684
460	91.14614105
458	91.04626465
456	90.34109497
454	89.26016998
452	88.05725861
450	87.26643372
448	87.20181274
446	87.73529816
444	88.5473938
442	88.95504761
440	88.77919006
438	87.98786163
436	87.13056183
434	86.64590454
432	86.42819214
430	86.29688263
428	86.03277588
426	85.64450073
424	85.36858368
422	85.09420013
420	84.3809967
418	83.17182159
416	81.59295654
414	80.26334381
412	79.69132996
410	79.73179626
408	79.53266907
406	78.42373657
404	76.48627472
402	74.59301758
400	73.44567108
398	72.60163116
396	71.16851044
394	68.25828552
392	64.0794754
390	58.72000504
388	51.20400238
386	39.98603058
384	26.09954262
382	13.11197281
380	4.782892704
378	1.16660285
376	0.182108089
374	0.022303814
372	0.007072536
370	0.003902191
368	0.005112696
366	0.004380886
364	0.004287413
362	0.005199389
360	0.004320747
358	0.004194201
356	0.005063212
354	0.004965106
352	0.004969162
350	0.004603572
348	0.001890568
346	0.002206145
344	0.00242075
342	0.000737698
340	0.004165351
338	0.006221864
336	0.003346226
334	0.004231049
332	0.003434628
330	0.004011794
328	0.002560993
326	0.005631482
324	0.001628202
322	-0.000955493
320	0.003171029
318	0.00527852
316	-0.000512731
314	8.74E-05
312	-0.000460523
310	-0.00473773
308	-0.005828338
306	-0.00872406
304	-0.007956868
302	0.006264204
300	-0.004220609
