#     U-FORS
#Wavelength (nm)	%T
778	0.000822261
776	0.00022197
774	-4.82E-05
772	0.000824448
770	0.000353378
768	-0.000510862
766	-0.000381935
764	-4.54E-05
762	0.001949521
760	0.003811062
758	0.001483056
756	0.0003555
754	2.17E-05
752	0.000285225
750	0.00108185
748	0.000750336
746	1.80E-05
744	2.28E-05
742	8.87E-05
740	-4.01E-05
738	0.00067995
736	8.33E-05
734	0.000941698
732	-0.000310112
730	9.18E-05
728	0.000813218
726	0.000155682
724	-0.000117975
722	0.000284391
720	0.000870967
718	0.00067565
716	0.000679429
714	8.30E-05
712	0.000152355
710	-0.000565058
708	0.00028451
706	-0.000172547
704	0.000417584
702	8.31E-05
700	-0.000302599
698	0.000347319
696	0.000219478
694	8.79E-05
692	0.000543955
690	0.000803297
688	2.65E-05
686	0.000545377
684	-0.000748921
682	-0.000495219
680	0.00028289
678	0.00054615
676	0.000739915
674	0.000866203
672	-0.000356116
670	-0.000230464
668	0.000995507
666	3.59E-05
664	0.001189449
662	0.000156216
660	0.000416542
658	-3.12E-05
656	0.000676615
654	0.000739243
652	0.000930278
650	0.001057986
648	2.83E-05
646	0.001181667
644	0.000605549
642	0.000603862
640	-0.000231907
638	0.000152825
636	0.001871891
634	0.000720725
632	0.000904037
630	0.000390939
628	0.000706255
626	0.000325301
624	0.00101982
622	0.000317576
620	0.001271934
618	-0.000202743
616	0.001336874
614	0.000190966
612	0.000130524
610	0.000387897
608	1.36E-05
606	0.000584644
604	-4.56E-05
602	0.000780376
600	0.000528315
598	0.000463574
596	0.000845729
594	0.000529554
592	0.000522352
590	0.000644129
588	-0.000504418
586	0.000247125
584	0.00063064
582	-0.000496084
580	0.001404777
578	0.000555421
576	0.001211341
574	-0.000402084
572	0.000374091
570	0.001535245
568	0.000259744
566	-0.00025037
564	0.000134517
562	0.000833156
560	0.000898032
558	-0.000119154
556	0.000578826
554	0.000961967
552	-0.000184201
550	0.000578399
548	-0.000565696
546	9.48E-06
544	0.000274895
542	1.31E-05
540	0.000522188
538	-0.000173937
536	0.001089322
534	0.000326244
532	0.001213569
530	0.000645526
528	-0.000245863
526	6.88E-05
524	0.000202531
522	0.000389445
520	0.000137297
518	0.001085551
516	-0.000744582
514	-0.000233252
512	0.0002626
510	-0.001001161
508	0.001145894
506	0.000259922
504	-0.000561928
502	0.000703894
500	0.000136231
498	0.000515985
496	0.001145768
494	0.000200401
492	9.65E-06
490	0.000954655
488	0.000828468
486	0.001017733
484	0.000516925
482	0.000513205
480	7.48E-05
478	0.001268689
476	0.000193839
474	0.000133385
472	0.000258203
470	-0.000177309
468	-0.000247841
466	0.000383656
464	0.000322434
462	0.000195221
460	-0.000433708
458	6.89E-05
456	0.00025961
454	0.000449516
452	7.13E-05
450	0.000130779
448	0.000635537
446	-0.000682551
444	0.000634243
442	0.00013119
440	0.000444079
438	0.000195272
436	0.000695703
434	-0.000187003
432	0.000632992
430	-0.000510607
428	-0.000432834
426	0.000181834
424	0.000189036
422	0.000309806
420	-0.000328462
418	0.00094324
416	0.00043794
414	0.000241941
412	0.000496095
410	-0.000205743
408	0.000173451
406	0.001634166
404	0.001252319
402	0.002716049
400	0.005838174
398	0.017826982
396	0.058740795
394	0.257964373
392	1.441918731
390	8.374047279
388	29.16237068
386	58.66581345
384	79.7430191
382	87.81122589
380	88.67375946
378	87.46155548
376	85.75481415
374	84.20184326
372	83.44275665
370	83.59967804
368	83.8660965
366	83.78349304
364	83.26164246
362	82.84771729
360	82.47867584
358	81.94657898
356	81.04933167
354	79.99835968
352	78.71244812
350	76.83620453
348	74.29480743
346	71.02267456
344	66.72249603
342	62.27180481
340	58.08354568
338	52.8489418
336	45.77093887
334	38.87973022
332	32.2677536
330	24.88032913
328	18.26254654
326	13.70058537
324	9.786740303
322	6.048472881
320	3.494122267
318	2.0429914
316	0.937304258
314	0.253898889
312	0.093500867
310	0.023891581
308	-0.006801509
306	-0.011415768
304	-0.016902145
302	-0.008922894
300	-0.004939408
