# microns              throughput              
  20004.663860000004   1.1102774759505503E-10  
  20026.10509          8.751898742720774E-11   
  20047.54632          6.887814147926196E-11   
  20068.98754          5.3991219230365844E-11  
  20090.428770000002   4.2920065198543824E-11  
  20111.86999          3.3952746651232496E-11  
  20133.31122          2.6988731479402308E-11  
  20154.752450000004   2.170853010090371E-11   
  20176.19367          1.7244150217420458E-11  
  20197.634899999997   1.3804049903010922E-11  
  20219.07612          1.1454791934955742E-11  
  20240.517350000002   9.422241513261808E-12   
  20261.95858          7.872993759042986E-12   
  20283.399800000003   6.797927784602161E-12   
  20304.84103          6.028199491383177E-12   
  20326.28225          5.387098591871916E-12   
  20347.72348          4.803376282180622E-12   
  20369.16471          4.358557520514876E-12   
  20390.605929999998   3.847370821988571E-12   
  20412.04716          3.558657736096959E-12   
  20433.48838          3.294979072978868E-12   
  20454.92961          2.966491895956249E-12   
  20476.370839999996   2.710520140756381E-12   
  20497.81206          2.622256514562461E-12   
  20519.253290000004   2.664185633564914E-12   
  20540.694509999998   2.8196416743311425E-12  
  20562.13574          3.1223647703959535E-12  
  20583.57697          3.6122371169419356E-12  
  20605.018190000003   4.074369706091938E-12   
  20626.45942          4.352409835752497E-12   
  20647.90064          4.571713799409748E-12   
  20669.341869999997   4.7041616013470626E-12  
  20690.7831           4.617476688361355E-12   
  20712.224319999998   4.572891086918729E-12   
  20733.66555          5.127758667022947E-12   
  20755.10677          5.859226742003193E-12   
  20776.548            7.062428948930819E-12   
  20797.98923          8.914072297913114E-12   
  20819.43045          1.1105792336981787E-11  
  20840.87168          1.3459406387289035E-11  
  20862.3129           1.5478356434519997E-11  
  20883.75413          1.860169696872455E-11   
  20905.195359999998   2.2041909443263468E-11  
  20926.63658          2.530546035036865E-11   
  20948.077810000003   3.046869850648334E-11   
  20969.519030000003   3.699304545768701E-11   
  20990.960260000003   4.408586863752682E-11   
  21012.40149          5.2886888383394166E-11  
  21033.84271          6.764916956215592E-11   
  21055.283939999998   8.83570453071032E-11    
  21076.72516          1.0987228261772857E-10  
  21098.16639          1.377659615592905E-10   
  21119.607620000002   1.7152238986111138E-10  
  21141.04884          1.9612498074006562E-10  
  21162.49007          2.0310826360542763E-10  
  21183.93129          1.9559435266674394E-10  
  21205.37252          1.8207521909640094E-10  
  21226.81375          1.6480344395947925E-10  
  21248.254969999998   1.481645185455604E-10   
  21269.6962           1.346858110694685E-10   
  21291.13742          1.2388922204479545E-10  
  21312.578650000003   1.139221711038353E-10   
  21334.01988          1.097029319023398E-10   
  21355.461100000004   1.1213417751825288E-10  
  21376.902329999997   1.1197146890433769E-10  
  21398.34355          1.0725682439097023E-10  
  21419.784779999998   1.0143327247543207E-10  
  21441.22601          9.693192963534437E-11   
  21462.667230000003   8.898509259556097E-11   
  21484.108460000003   8.169393483097316E-11   
  21505.549679999996   8.129978479297024E-11   
  21526.99091          8.685154846867233E-11   
  21548.43214          9.443076734690806E-11   
  21569.87336          1.0242083600172936E-10  
  21591.31459          1.1463668569815137E-10  
  21612.75581          1.298604887047351E-10   
  21634.19704          1.343810717520657E-10   
  21655.638270000003   1.2640163245979776E-10  
  21677.07949          1.1105586926253778E-10  
  21698.520720000004   9.807937685346442E-11   
  21719.961939999997   9.156240441672255E-11   
  21741.40317          8.835069423490977E-11   
  21762.844399999998   9.174256013135807E-11   
  21784.285620000002   9.790308646370333E-11   
  21805.72685          1.0462457153792525E-10  
  21827.16807          1.1478359766655743E-10  
  21848.609299999996   1.335787912371393E-10   
  21870.05053          1.5229948240394438E-10  
  21891.491749999997   1.6159071096516203E-10  
  21912.93298          1.699923417930887E-10   
  21934.374200000006   1.900019688703961E-10   
  21955.81543          2.1238188625050155E-10  
  21977.25666          2.2432809208382938E-10  
  21998.69788          2.3249360903595723E-10  
  22020.13911          2.7502406272680455E-10  
  22041.58033          3.564964293238166E-10   
  22063.02156          4.5939886184579333E-10  
  22084.462789999998   5.873113065041209E-10   
  22105.904010000002   7.470405972878802E-10   
  22127.34524          9.478669228796776E-10   
  22148.786460000003   1.1530384697775329E-9   
  22170.227690000003   1.4031841354662625E-9   
  22191.66892          1.750602057451807E-9    
  22213.110139999997   2.3016238487281165E-9   
  22234.551369999997   2.9414556506181646E-9   
  22255.99259          3.5320883453946325E-9   
  22277.433820000002   4.200621357363129E-9    
  22298.875050000002   4.741136420384322E-9    
  22320.31627          5.07943106761518E-9     
  22341.7575           5.2454245024125645E-9   
  22363.19872          5.586252749104299E-9    
  22384.63995          5.9252716900515326E-9   
  22406.08118          6.20181754507258E-9     
  22427.522399999998   6.678697954489081E-9    
  22448.963629999995   7.895931577818697E-9    
  22470.40485          1.0020132833892206E-8   
  22491.846080000003   1.250019812636952E-8    
  22513.28731          1.5557110843582678E-8   
  22534.728530000004   1.9110416774088843E-8   
  22556.169759999997   2.3250792186694966E-8   
  22577.61098          2.726776425218578E-8    
  22599.052209999998   3.112675530665258E-8    
  22620.493440000002   3.4684554642007225E-8   
  22641.93466          3.9046229574576576E-8   
  22663.375890000003   4.287537573740299E-8    
  22684.817109999996   4.328732292400131E-8    
  22706.25834          4.27726171508326E-8     
  22727.69957          4.4562077684336725E-8   
  22749.14079          4.794390897237154E-8    
  22770.58202          4.946855900333765E-8    
  22792.02324          5.098232264602603E-8    
  22813.46447          5.322806405274232E-8    
  22834.9057           5.615079516217975E-8    
  22856.34692          5.999046071154388E-8    
  22877.788150000004   6.133373742150164E-8    
  22899.229369999997   6.224212772628315E-8    
  22920.670599999998   6.580208575712658E-8    
  22942.111829999998   7.041990123392755E-8    
  22963.553050000002   7.267525023320047E-8    
  22984.99428          7.49722378511876E-8     
  23006.435499999996   8.948780734362139E-8    
  23027.876729999996   1.1216734354792711E-7   
  23049.31796          1.3898452837609619E-7   
  23070.759179999997   1.7216839856666448E-7   
  23092.20041          2.1838375052722287E-7   
  23113.641630000002   2.8907389561004306E-7   
  23135.082860000002   3.7564979441682115E-7   
  23156.524089999995   4.775492746558232E-7    
  23177.96531          6.163742242632844E-7    
  23199.40654          8.087148766131715E-7    
  23220.84776          1.0608378018133309E-6   
  23242.288990000005   1.2826197832527905E-6   
  23263.73022          1.4632281908632551E-6   
  23285.171440000002   1.6590713537780134E-6   
  23306.61267          1.9464178860651644E-6   
  23328.053890000003   2.1630665777222547E-6   
  23349.49512          2.2316528300234962E-6   
  23370.93635          2.3327872037375304E-6   
  23392.377569999997   2.3617586061441243E-6   
  23413.818799999997   2.2966575591476796E-6   
  23435.260019999998   2.1050742445558193E-6   
  23456.701250000002   1.9879393101625983E-6   
  23478.142480000002   1.9964342715959707E-6   
  23499.5837           2.2252433338502524E-6   
  23521.02493          2.5486727764921204E-6   
  23542.46615          2.765836617493575E-6    
  23563.90738          2.851876165345064E-6    
  23585.348609999997   2.97458795122666E-6     
  23606.789829999998   3.0936845036230913E-6   
  23628.23106          2.9064574471354096E-6   
  23649.67228          2.5871512811537146E-6   
  23671.113510000003   2.418626441832738E-6    
  23692.55474          2.414980575007356E-6    
  23713.995960000004   2.3159037506238613E-6   
  23735.437189999997   2.2120525428809655E-6   
  23756.87841          2.308019090036316E-6    
  23778.319639999998   2.5688740912405457E-6   
  23799.760870000002   2.9728424427147215E-6   
  23821.20209          3.456364764021378E-6    
  23842.643320000003   3.7688224788871237E-6   
  23864.084539999996   3.8662559488297895E-6   
  23885.52577          3.852557678206371E-6    
  23906.967            4.007927551174667E-6    
  23928.40822          4.194693445854512E-6    
  23949.84945          4.1779072632850054E-6   
  23971.29067          4.323292492980183E-6    
  23992.7319           4.651820303839401E-6    
  24014.17313          4.81605257277228E-6     
  24035.61435          4.686824278903051E-6    
  24057.05558          4.4746499597044536E-6   
  24078.4968           4.3994218475016755E-6   
  24099.938029999998   4.330516831801443E-6    
  24121.379259999998   4.1570278623451674E-6   
  24142.82048          3.975495912972261E-6    
  24164.26171          3.732595386522435E-6    
  24185.702930000003   3.436542898805422E-6    
  24207.144159999996   3.3685269656377924E-6   
  24228.58539          3.391601451717191E-6    
  24250.02661          3.228427277752903E-6    
  24271.46784          2.987684489079757E-6    
  24292.90906          3.134622257328771E-6    
  24314.350290000002   3.764695687879362E-6    
  24335.791519999995   4.148512391620389E-6    
  24357.23274          4.293657859573831E-6    
  24378.673969999996   4.371054885949901E-6    
  24400.11519          4.370312258804071E-6    
  24421.556420000004   4.2273305687817675E-6   
  24442.99765          3.82395474878693E-6     
  24464.43887          3.5491536725797215E-6   
  24485.8801           3.397990328289636E-6    
  24507.321320000003   3.3359437750870773E-6   
  24528.76255          3.6232887257449085E-6   
  24550.20378          4.118792337104367E-6    
  24571.644999999997   4.572696838823719E-6    
  24593.08623          4.883553460628232E-6    
