# microns              throughput
  35672.50998          9.265572396688433E-6    
  35686.0223           9.69255434830836E-6     
  35699.53461          1.0194125496498479E-5   
  35713.04692          1.0572995825122599E-5   
  35726.55924          1.0860211125004002E-5   
  35740.07155          1.1258816340733247E-5   
  35753.58387          1.1686521191724618E-5   
  35767.09618          1.1926468696558951E-5   
  35780.6085           1.2022726222668264E-5   
  35794.12081          1.2048047701598175E-5   
  35807.63312          1.2008421137486574E-5   
  35821.14544          1.1939139740857287E-5   
  35834.65775          1.2022191732857709E-5   
  35848.17007          1.2132649252307995E-5   
  35861.682380000006   1.2137970968073343E-5   
  35875.1947           1.2237327077194808E-5   
  35888.70701          1.2405129858433494E-5   
  35902.21932999999    1.2468882444231246E-5   
  35915.73164          1.260414072599057E-5    
  35929.24395          1.2938006197996106E-5   
  35942.75627          1.316540499018518E-5    
  35956.26858          1.3224227718039301E-5   
  35969.7809           1.3341798255356213E-5   
  35983.29321          1.3587853122373566E-5   
  35996.805530000005   1.3819205004167467E-5   
  36010.317839999996   1.398101029744642E-5    
  36023.83016          1.3921814854493789E-5   
  36037.342469999996   1.3690217931809053E-5   
  36050.85478          1.3611781838666817E-5   
  36064.3671           1.3767711868190049E-5   
  36077.87941          1.3949272731028731E-5   
  36091.39173          1.4064022387547507E-5   
  36104.90404          1.4123150774082323E-5   
  36118.41636          1.4325525247411704E-5   
  36131.92867          1.4935063489345134E-5   
  36145.44098          1.5560528876654995E-5   
  36158.9533           1.581872971264143E-5    
  36172.46561          1.598473871312377E-5    
  36185.97793          1.6185299813665802E-5   
  36199.49024          1.6398148062110716E-5   
  36213.00256          1.665507748112321E-5    
  36226.51487          1.6949151410092414E-5   
  36240.02719          1.6945174303358024E-5   
  36253.5395           1.6975799620770977E-5   
  36267.05181          1.7277634690541637E-5   
  36280.56413          1.7677016623144508E-5   
  36294.07644          1.805119108063219E-5    
  36307.58876          1.82608768600428E-5     
  36321.10107          1.831902664339521E-5    
  36334.61339          1.8401703057670277E-5   
  36348.125700000004   1.868450155878098E-5    
  36361.63801          1.9122795315290775E-5   
  36375.150330000004   1.9716274237424374E-5   
  36388.662639999995   2.0197762286261697E-5   
  36402.17496          2.0578446270839563E-5   
  36415.687269999995   2.1097176780771796E-5   
  36429.19959          2.1861968811259504E-5   
  36442.7119           2.2641921549074954E-5   
  36456.22422          2.3222914176552453E-5   
  36469.73653          2.3625154656503843E-5   
  36483.24884          2.385090871889726E-5    
  36496.76116          2.401903836685918E-5    
  36510.27347          2.43631140051421E-5     
  36523.78579          2.4704249888526998E-5   
  36537.2981           2.4754135781926495E-5   
  36550.81042          2.4670947926649548E-5   
  36564.32273          2.4677399141063528E-5   
  36577.835040000005   2.471384998613999E-5    
  36591.34736          2.496629342354064E-5    
  36604.85967          2.5414454974864286E-5   
  36618.37199          2.5825436776017922E-5   
  36631.8843           2.632068032269355E-5    
  36645.39662          2.6878011576341227E-5   
  36658.90893          2.7580575250134514E-5   
  36672.42125          2.84545749728125E-5     
  36685.93356          2.924571029775059E-5    
  36699.445869999996   2.9833262478251696E-5   
  36712.95819          3.0402399952969585E-5   
  36726.4705           3.118973868473385E-5    
  36739.98282          3.2165391704972956E-5   
  36753.49513          3.319079694931264E-5    
  36767.007450000005   3.426122658338198E-5    
  36780.51976          3.5404811550436345E-5   
  36794.032080000004   3.658815212800165E-5    
  36807.544389999995   3.795196508568348E-5    
  36821.0567           3.920920959959187E-5    
  36834.56902          3.99959711119475E-5     
  36848.08133          4.072276869984185E-5    
  36861.59365          4.164704680641015E-5    
  36875.10596          4.260349043098701E-5    
  36888.618279999995   4.376606399705697E-5    
  36902.13059          4.5185581396440345E-5   
  36915.6429           4.674031961994755E-5    
  36929.15522          4.8785790566756923E-5   
  36942.66753          5.132259782467019E-5    
  36956.17985          5.405591995260763E-5    
  36969.69216          5.722518018526185E-5    
  36983.20448          6.0498074374814436E-5   
  36996.71679          6.3590357351563E-5      
  37010.22911          6.671291941339758E-5    
  37023.74142          6.994025449210137E-5    
  37037.253730000004   7.352061214724738E-5    
  37050.766050000006   7.734438039526986E-5    
  37064.278360000004   8.10575640351911E-5     
  37077.79068          8.4788402927166E-5      
  37091.30299          8.907025702221615E-5    
  37104.81531          9.400772630680414E-5    
  37118.32762          9.940106414618357E-5    
  37131.83993          1.0507853538767258E-4   
  37145.35225          1.110431017840403E-4    
  37158.86456          1.1788068771329829E-4   
  37172.37688          1.2566946512432455E-4   
  37185.889189999994   1.3410318751321383E-4   
  37199.401509999996   1.428065489199235E-4    
  37212.91382          1.5186998598122479E-4   
  37226.426139999996   1.62043038445437E-4     
  37239.93845          1.7340164949545628E-4   
  37253.45076          1.851779292194764E-4    
  37266.96308          1.972011440441112E-4    
  37280.47539          2.0970626171939717E-4   
  37293.98771          2.230895664394846E-4    
  37307.50002          2.3807396436469432E-4   
  37321.01234          2.5451116466694714E-4   
  37334.52465          2.71741323796498E-4     
